reference	hypA	nbrA	hypB	nbrB
c' était on le présente aujourd'hui comme l' un des meilleurs animateurs radio et télé de sa génération malheureusement	c' était on le présente aujourd' hui comme l' un des meilleurs animateurs radios et télé de sa génération malheureusement	4	c' était on le présente aujourd' hui comme l' un des meilleurs animateurs radio et télé de sa génération malheureusement	3
pourquoi d' ailleurs	tout va d' ailleurs	3	tout coi d' ailleurs	4
de sa grand mère ça c' est vraiment c' est c' était ses mots	de sa grand-mère ça c' est vraiment ce c' était ces mots	3	c' est sa grand-mère ça c' est vraiment c' est c' était ses mots	4
dit maintenant ok je mets je remets les pendules à l' heure et c' est nécessaire	dit maintenant auquel je mets je remets les pendules à leur et c' est nécessaire	2	duit maintenant ok je mets je remets les pendules à l' heur et c' était nécessaire	5
voilà il a reçu sa petit toque françois hollande	voilà il a reçu sa petite tocue françois hollande	4	oà il a reçu sa petite toc françois hollande	3
oui imaginez aujourd'hui celui qui a peut être vu sortir le tueur casqué du magasin	oui imaginer aujourd' hui celui qui a peut-être vu sortir le tueur casquet du magasin	6	oui imaginez aujourd' hui celui qui a peut-être vu sortir le tueur casse qu est du magasin	1
l' émotion du choc est un peu un peu redescendue et	é motion euh du choc et un peu un peu redescendue euh	7	le émotion euh du choc et un peu un peu an une fendu et euh	0
je suis tout à fait d' accord avec lui il faut peut être parler davantage de bande	suis tout à fait d' accord avec lui il faut peut être parler davantage de bande	0	je suis tout à fait d' accord avec lui il faut peut-être parler davantage de bande	7
ça fait plaisir	l' effort	0	ça fait plaisir moi	7
à la fois notre programme	a la fois nos programmes	2	euh à la fois notre programme	5
la compétition quelle que soit la performance réalisée quand la compétition est belle voilà le spectacle est là c' est	compétition quelle que soit la performance réalisée quand la compétition est belle voilà le spectacle et là c' est de	1	la compétition quelle que soit la performance réalisée quand la compétition est belle euh voilà le spectacle est là c' est de	6
noise le dernier épisode de desperate housewives	le dernier épisode de sre al	0	is le dernier épisode de setterayd alswive	7
huit mille relayeurs se sont succédé depuis et depuis quelques jours elle fait le tour des quartiers de londres	huit milles relaeurs se sont euh succédés depuis et depuis quelques jours elle fait le tour des quartiers de londres	6	huit milles relaeurs se sont euh succédées depuis et depuis quelques jours elle fait le tour des quartiers de l' omdres	1
la france n' a jamais vendu d' arme à des dictateurs	l' a() l' argent n' a jamais vendu d' arme à des dictateurs	1	l' arme en france n' a jamais vendu d' armes à à des dictateurs	6
au dernier étage de l' olympia il a regardé le parterre il y avait tout le gratin du paf	au dernier étage de l' olympia il a regardé par terre il y avait tout le gratin du paf	6	au dernier étage de l' olympia il a regardé euh le parterre il y avait tout le gratin du pape	1
qu' elle est l' ambiance en haut monsieur	quelle était l' ambiance en vous monsieur	5	quelle était l' ambiance pon vous monsieur	2
c' est la compétition en fait	laiction en fait	5	abutition en fait	2
ce soit rendu possible avec	se() soit rendue possible avec euh	4	se resoit rendu possible avec euh	3
porter atteinte à la sécurité de la libye porter atteinte à l' amitié entre la france et la libye	porter atteinte à la sécurité de la libye porte atteinte à l' amitié entre la france et la libye	6	portée atteinte à la sécurité de la libye portée atteinte à l' amitié entre la france et la libye	1
c' était l' info trafic avec green accres point com moteur de recherches immobilières sur internet	c' était l' info trafic avec grinac point com moteur de recherches immobilières sur internet	6	c' était l' info trafiqu avec grinag point com moteur de recherche immobilière sur internet	1
contre l' euro	l' euro	2	contre le ro	5
et manifestement en l' état nous ne sommes pas audible	manifestement en l' état nous ne sommes pas audibles	7	et manifestement en l' état nous ne sommes pas au(	0
dis que si	si	0	dit que si	7
la compagnie aérienne propose à ses pilotes de travailler pour sa filiale low cost transavia	la compagnie aérienne propose à ses pilotes de travailler pour sa filiale locust transavia	4	la compagnie aérienne propose à ses pilotes de travailler pour sa filiale lo causte trans avia	3
j' ai regardé partout en me disant quoi il s' est vraiment passé des choses incroyables	je ai regardé partout en me disant quours et il s' est vraiment passé des choses incroyables	2	j' ai regardé partout en me disant quo et c' est vraiment passé des choses incroyables	5
manuel valls il y pense par exemple pour	manuel valls l' y pense par exemple pour	7	manuel vall ça ne di pense par exemple eonpou	0
bonsoir à tous bienvenue c' est bfm story en direct jusqu' à dix neuf heures à la une	à tous bienvenue c' est bfm story en direct jusqu' à dix neuf heures	0	bonsoir à tous bienvenue c' est bfm story en direct jusqu' à dix-neuf heures à	7
dix huit heures trente après	dix-huit heures et trent inte mintee après	0	dix-huit heures et trente minte après	7
monsieur qu' elle était le	parce ce qui a était la	4	pour ceux qui étaient là	3
pas le pas l' avis général	pas le pas l' avis géné()	6	pas le palais vigila	1
donc vous voyez que la politique fiscale du gouvernement que les écologistes tousenon soutenons totalement	donc vous voyez que la politique fiscale du gouvernement que les écologistes tous seront soutenons totalement	3	donc vous voyez que la politique fiscale du gouvernement que les écologistes nou se nons soutenons totalement	4
et et conviction	et conviction	6	et eh et conviction	1
parce que tout va aller très vite	est ce que tout va aller très vite	1	parce que tout va arrive très vite	6
bonsoir anna cabana	le canada	0	bonsoir alain cabada	7
mais franchement vous	on mais franchement	7	un meuffrage oumeur	0
et oui objectif protester contre mille quatre cents suppressions de postes annoncées alors que	eh oui objectif protester contre mille quatre cents suppressions de postes annoncées alors que	7	h oui objectif protester contre mille quatre cents suppressions de postes annoncées alors que	0
ce soir on a retrouvé le climat des européennes et ça c' est parce qu' elle était enfin dans la	ce soir on a retrouvé le climat des européennes et ça c' est parce qu' elle était envaina	5	ce soit on a retrouvé le climat des européennes et ça c' est parce qu' elle était ona	2
un grand rassemblement de l' unité nationale	un grand rassemblement de l' unité bon national et c' est un	7	un grand rassemblement de l' unité bon nationaleet cetuni	0
des éditions hugo et compagnie et puis avec vous avec nous virgile caillet bonsoir vous êtes directeur de kantarsport	éditions hugo et compagnie et puis avec vous vous avec nous virgiles cailyet bonsoir vous êtes eu directeur de cantarsport	5	d' édition hugo et compagnie et puis avec vous vous avec nous virgines caier bonsoir vous êtes le directeur de quant ar sport	2
les thèmes s' enchaînent emploi comptes publics éducation ou encore immigration	thème s' enchaînent emploi comptes publics éducation ou encore immigration	0	les thèmes s' enchaînent emploi compte public éducation ou encore immigration	7
le problème du pouvoir d' achat des familles	problème du pouvoir d' achat des famille	3	le problème euh du pouvoir d' achat des familles	4
du terrorisme notamment le les loups solitaires	euh lors du terrorisme notamment euh les les loups solitaires	4	euh du terrorisme notamment euh les les lou solitaires	3
la compagnie veut proposer des incitations financières à ses pilotes pour les faire travailler au sein de sa filiale transavia	la compagnie veut euh proposer les incitations financières à ses pilotes pour les faire travailler au sein de sa filiale transabia	4	la compagnie veut euh proposer des incitations financières à ses pilotes pour les faire travailler au sein de sa filiale transaviable	3
emile et images peter et sloane début de soirée	image pittoresque en début de soirée	0	émile et image peter es lon début de soirée	7
propos recueillis par thomas soulié et julia le correc j' accueille tout de suite florence muracciole bonjour	propos recueillis par thomas soulié et julian le correc j' accueil toutte de suite florence muracciole bonjour	2	propos recueillis par thomas soulié et julia le correc j' acccueille tout de suite florence muraccial bonjour	5
il a suivi la	est assimilé	4	i je suis mis	3
sarkozy va t il diriger la france ou un fond qatari	sarkozy va-t-il diriger la france ou un frond catari	7	sarkozy va -t-il diriger la france ou un frond catari	0
c' est ce qu' on appelle une anaphore en rhétorique la répétition de la même formule en début de phrase	je vous appelle une effort en rhitorique la répétition de la même formule en début de phrase	0	ce qu' on appelle une informe en rhétorique la répétition de la même formule en début de phrase	7
écologiste au sénat jean vincent placé sera mon invité ce soir	écologiste au sénat jean-vinci placé sera mon invité ce soir	7	écologiste au sénat g en va s' en placer sera mon invité ce soir	0
et laurent neumann pour marianne bonjour laurent	laurent neumann pour marianne bonjour laurent	7	et laurent deman pour marianne bonjour laurent	0
je pense que les gens qui sont là avant tout c' est des fans de tolkien	je pense que les gens qui sont là avant tout c' est des snes de tocken	0	je pense que des gens qui sont là avant tout c' est des fammes de tocken	7
quels dégats pourraient provoquer ces armes chimiques	cas dégâts pourrait provoquer ces armes chimiques	0	quel dégât pourrait provoquer ces armes chimiques	7
c' est vrai que il manque sur le soutien il y a besoin d' une écologie forte	c' est vrai que il manque sur le soutien il y a besoin d' une écologie fort	3	euh c' est vrai que il manque sur le soutien il y a besoin d' une écologie forte	4
